Executable                        Bundle                                                            Version    Path
Preferences                       com.apple.preferences-framework                                   1          .../PrivateFrameworks/Preferences.framework
CoreDuetDebugLogging              com.apple.CoreDuetDebugLogging                                    1.0        ...rameworks/CoreDuetDebugLogging.framework
Social                            com.apple.sociald.Social                                          87         ...stem/Library/Frameworks/Social.framework
AdAnalytics                       com.apple.ad.AdAnalytics                                          1.0        .../PrivateFrameworks/AdAnalytics.framework
CoreServices                      com.apple.CoreServices                                            839        ...ibrary/Frameworks/CoreServices.framework
Quagga                            com.apple.Quagga                                                  1.0        ...brary/PrivateFrameworks/Quagga.framework
SettingsFoundation                com.apple.settingsandcoreapps.SettingsFoundation                  1.0        ...eFrameworks/SettingsFoundation.framework
SharedUtils                       com.apple.CoreAuthentication.SharedUtils                          1.0        ....framework/Support/SharedUtils.framework
EmailCore                         com.apple.EmailCore                                               11.0       ...ry/PrivateFrameworks/EmailCore.framework
CoreDAV                           com.apple.coredav                                                 1.0.1      ...rary/PrivateFrameworks/CoreDAV.framework
RunningBoardServices              com.apple.RunningBoardServices                                    1.0        ...rameworks/RunningBoardServices.framework
AssertionServices                 com.apple.AssertionServices                                       1.0        ...teFrameworks/AssertionServices.framework
Pegasus                           com.apple.Pegasus                                                 1.0        ...rary/PrivateFrameworks/Pegasus.framework
CoreEmoji                         com.apple.CoreEmoji                                               1.0        ...ry/PrivateFrameworks/CoreEmoji.framework
AssetsLibraryServices             com.apple.AssetsLibraryServices                                   1.0        ...ameworks/AssetsLibraryServices.framework
ScreenTimeCore                    com.apple.ScreenTimeCore                                          2.0        ...ivateFrameworks/ScreenTimeCore.framework
ResponseKit                       com.apple.ResponseKit                                             1.0        .../PrivateFrameworks/ResponseKit.framework
CoreML                            com.apple.CoreML                                                  1.0        ...stem/Library/Frameworks/CoreML.framework
QuartzCore                        com.apple.QuartzCore                                              1.11       .../Library/Frameworks/QuartzCore.framework
SignpostMetrics                   com.apple.perf.apple.SignpostMetrics                              1.0        ...vateFrameworks/SignpostMetrics.framework
ToneLibrary                       com.apple.ToneLibrary                                             1.0        .../PrivateFrameworks/ToneLibrary.framework
PrototypeToolsUI                  com.apple.PrototypeToolsUI                                        1.0        ...ateFrameworks/PrototypeToolsUI.framework
CoreRecognition                   com.apple.CoreRecognition                                         1.3        ...vateFrameworks/CoreRecognition.framework
JavaScriptCore                    com.apple.JavaScriptCore                                          8608       ...rary/Frameworks/JavaScriptCore.framework
AppSSOCore                        com.apple.AppSSOCore                                              1.0        ...y/PrivateFrameworks/AppSSOCore.framework
UserActivity                      com.apple.UserActivity                                            352.1      ...PrivateFrameworks/UserActivity.framework
CoreLocation                      com.apple.corelocation                                            2387.0.14  ...ibrary/Frameworks/CoreLocation.framework
FamilyCircle                      com.apple.FamilyCircle                                            1.0        ...PrivateFrameworks/FamilyCircle.framework
CorePrediction                    com.apple.CorePrediction                                          1.0        ...ivateFrameworks/CorePrediction.framework
NanoRegistry                      com.apple.private.NanoRegistry                                    1.0        ...PrivateFrameworks/NanoRegistry.framework
AddressBook                       com.apple.AddressBook                                             1.0        ...Library/Frameworks/AddressBook.framework
CloudPhotoLibrary                 com.apple.CloudPhotoLibrary                                       1.0        ...teFrameworks/CloudPhotoLibrary.framework
AppSupport                        com.apple.AppSupport                                              1.0.0      ...y/PrivateFrameworks/AppSupport.framework
Contacts                          com.apple.contacts                                                1.0        ...em/Library/Frameworks/Contacts.framework
Metal                             com.apple.Metal                                                   211.52     ...ystem/Library/Frameworks/Metal.framework
AppConduit                        com.apple.AppConduit                                              1.0        ...y/PrivateFrameworks/AppConduit.framework
SafariCore                        com.apple.Safari.Core                                             608        ...y/PrivateFrameworks/SafariCore.framework
AppSSO                            com.apple.AppSSO                                                  1.0        ...brary/PrivateFrameworks/AppSSO.framework
CoreData                          com.apple.CoreData                                                120        ...em/Library/Frameworks/CoreData.framework
OnBoardingKit                     com.apple.OnBoardingKit                                           1.0        ...rivateFrameworks/OnBoardingKit.framework
AppleIDAuthSupport                com.apple.AppleIDAuthSupport                                      1.0        ...eFrameworks/AppleIDAuthSupport.framework
CoreHaptics                       com.apple.CoreHaptics                                             1.0        ...Library/Frameworks/CoreHaptics.framework
UIKit                             com.apple.UIKit                                                   1.0        ...ystem/Library/Frameworks/UIKit.framework
AdPlatforms                       com.apple.AdPlatforms.AdPlatforms                                 1.0        .../PrivateFrameworks/AdPlatforms.framework
ParsecSubscriptionServiceSupport  com.apple.ParsecSubscriptionServiceSupport                        1.0        ...rsecSubscriptionServiceSupport.framework
Categories                        com.apple.framework.ctcategories                                  1.0        ...y/PrivateFrameworks/Categories.framework
GLKit                             com.apple.GLKit                                                   106        ...ystem/Library/Frameworks/GLKit.framework
FTAWD                             com.apple.ftawd                                                   8.0        ...ibrary/PrivateFrameworks/FTAWD.framework
Intents                           com.apple.Intents                                                 1.0        ...tem/Library/Frameworks/Intents.framework
AVFoundation                      com.apple.avfoundation                                            2.0        ...ibrary/Frameworks/AVFoundation.framework
iAdServices                       com.apple.iAdServices                                             1.0        .../PrivateFrameworks/iAdServices.framework
PersonalizationPortrait           com.apple.proactive.PersonalizationPortrait                       1.0        ...eworks/PersonalizationPortrait.framework
SharedWebCredentials              com.apple.SharedWebCredentials                                    210        ...rameworks/SharedWebCredentials.framework
CalendarUIKit                     com.apple.CalendarUIKit                                           1.0        ...rivateFrameworks/CalendarUIKit.framework
XCTTargetBootstrap                com.apple.dt.XCTTargetBootstrap                                   1.0        ...eFrameworks/XCTTargetBootstrap.framework
MobileStorage                     com.apple.MobileStorage                                           1.0        ...rivateFrameworks/MobileStorage.framework
SampleAnalysis                    com.apple.SampleAnalysis                                          1.0        ...ivateFrameworks/SampleAnalysis.framework
CoreMedia                         com.apple.CoreMedia                                               1.0        ...m/Library/Frameworks/CoreMedia.framework
SearchFoundation                  com.apple.SearchFoundation                                        1.0        ...ateFrameworks/SearchFoundation.framework
IOAccelerator                     com.apple.IOAccelerator                                           438.8      ...rivateFrameworks/IOAccelerator.framework
MobileSpotlightIndex              com.apple.mobilespotlight.index                                   10.7.0     ...rameworks/MobileSpotlightIndex.framework
FaceCore                          com.apple.vision.FaceCore                                         3.1.12     ...ary/PrivateFrameworks/FaceCore.framework
ManagedConfiguration              com.apple.managedconfiguration                                    1.0        ...rameworks/ManagedConfiguration.framework
MobileKeyBag                      com.apple.MobileKeyBag                                            2.0        ...PrivateFrameworks/MobileKeyBag.framework
                                                                                                               ...rivateFrameworks/ASEProcessing.framework
IOSurface                         com.apple.IOSurface                                               269.9      ...m/Library/Frameworks/IOSurface.framework
VideoSubscriberAccount            com.apple.VideoSubscriberAccount.VideoSubscriberAccountFramework  1.0        ...meworks/VideoSubscriberAccount.framework
IMDPersistence                    com.apple.IMDPersistence                                          10.0       ...ivateFrameworks/IMDPersistence.framework
LinguisticData                    com.apple.LinguisticData                                          1.0        ...ivateFrameworks/LinguisticData.framework
SDKConfigurations                 com.zendesk.SDKConfigurations                                     22.38      ...p/Frameworks/SDKConfigurations.framework
RemoteUI                          com.apple.RemoteUI                                                1.0        ...ary/PrivateFrameworks/RemoteUI.framework
Paribet                           ru.parimatch.ios                                                  22.38      ...-8E04-404A-A295-97AD5F3C9247/Paribet.app
UsageTracking                     com.apple.UsageTracking                                           2.0        ...rivateFrameworks/UsageTracking.framework
Vision                            com.apple.VN                                                      3.0.86     ...stem/Library/Frameworks/Vision.framework
TelephonyUtilities                com.apple.TelephonyUtilities                                      1.0        ...eFrameworks/TelephonyUtilities.framework
AppSupportUI                      com.apple.AppSupportUI                                            1.0        ...PrivateFrameworks/AppSupportUI.framework
SetupAssistant                    com.apple.SetupAssistant                                          1.0        ...ivateFrameworks/SetupAssistant.framework
AppleMediaServices                com.apple.AppleMediaServices                                      1.0        ...eFrameworks/AppleMediaServices.framework
QuickLookThumbnailing             com.apple.QuickLookThumbnailing                                   1.0        ...ameworks/QuickLookThumbnailing.framework
WebBookmarks                      com.apple.WebBookmarks                                            1.0        ...PrivateFrameworks/WebBookmarks.framework
WatchConnectivity                 com.apple.WatchConnectivity                                       185        ...y/Frameworks/WatchConnectivity.framework
FrontBoardServices                com.apple.FrontBoardServices                                      619.2      ...eFrameworks/FrontBoardServices.framework
FTClientServices                  com.apple.ftclientservices                                        10.0       ...ateFrameworks/FTClientServices.framework
                                                                                                               ...ystem/Library/Frameworks/IOKit.framework
CoreText                          com.apple.CoreText                                                642        ...em/Library/Frameworks/CoreText.framework
vCard                             com.apple.contacts.vCard                                          1.0        ...ibrary/PrivateFrameworks/vCard.framework
SafariServices                    com.apple.SafariServices                                          13.0.1     ...rary/Frameworks/SafariServices.framework
URLFormatting                     com.apple.URLFormatting                                           119        ...rivateFrameworks/URLFormatting.framework
LanguageModeling                  com.apple.LanguageModeling                                        1.0        ...ateFrameworks/LanguageModeling.framework
Marco                             com.apple.marco                                                   10.0       ...ibrary/PrivateFrameworks/Marco.framework
MessagingSDK                      com.zendesk.MessagingSDK                                          22.38      ...et.app/Frameworks/MessagingSDK.framework
MusicLibrary                      com.apple.MusicLibrary                                            1.0.0      ...PrivateFrameworks/MusicLibrary.framework
CalendarDatabase                  com.apple.CalendarDatabase                                        1.0        ...ateFrameworks/CalendarDatabase.framework
OSAServicesClient                 com.apple.OSAServicesClient                                       1.0        ...teFrameworks/OSAServicesClient.framework
MediaExperience                   com.apple.MediaExperience                                         1.0        ...vateFrameworks/MediaExperience.framework
vecLib                            com.apple.Accelerate.vecLib                                       3.11       ...te.framework/Frameworks/vecLib.framework
CoreRecents                       com.apple.corerecents                                             1.0        .../PrivateFrameworks/CoreRecents.framework
DataDetectorsCore                 com.apple.datadetectorscore                                       8.0        ...teFrameworks/DataDetectorsCore.framework
DataAccessExpress                 com.apple.dataaccess.dataaccessexpress.framework                  1.0        ...teFrameworks/DataAccessExpress.framework
DataDetectorsNaturalLanguage      com.apple.DataDetectorsNaturalLanguage                            1.0        ...s/DataDetectorsNaturalLanguage.framework
Espresso                          com.apple.vision.EspressoFramework                                1.0        ...ary/PrivateFrameworks/Espresso.framework
DeviceIdentity                    com.apple.DeviceIdentity                                          1.0        ...ivateFrameworks/DeviceIdentity.framework
BiometricKit                      com.apple.BiometricKit                                            1.0        ...PrivateFrameworks/BiometricKit.framework
StudyLog                          com.apple.StudyLog                                                1.0        ...ary/PrivateFrameworks/StudyLog.framework
PDFKit                            com.apple.PDFKit                                                  1.0        ...stem/Library/Frameworks/PDFKit.framework
EventKit                          com.apple.eventkit                                                1.0.0      ...em/Library/Frameworks/EventKit.framework
IncomingCallFilter                com.apple.incomingcallfilter                                      10.0       ...eFrameworks/IncomingCallFilter.framework
CrashReporterSupport              com.apple.CrashReporterSupport                                    10.5.0     ...rameworks/CrashReporterSupport.framework
FonbetOtherServices               com.bakenbard.FonbetOtherServices                                 22.38      ...Frameworks/FonbetOtherServices.framework
AVFAudio                          com.apple.audio.AVFAudio                                          1.0        ....framework/Frameworks/AVFAudio.framework
BaseBoardUI                       com.apple.BaseBoardUI                                             460        .../PrivateFrameworks/BaseBoardUI.framework
ChatProvidersSDK                  com.zendesk.ChatProvidersSDK                                      22.38      ...pp/Frameworks/ChatProvidersSDK.framework
SpringBoardFoundation             com.apple.SpringBoardFoundation                                   1.0        ...ameworks/SpringBoardFoundation.framework
ProactiveEventTracker             com.apple.proactive.support.ProactiveEventTracker                 1.0        ...ameworks/ProactiveEventTracker.framework
BulletinBoard                     com.apple.bulletinboard                                           1.0        ...rivateFrameworks/BulletinBoard.framework
MPSMatrix                         com.apple.MetalPerformanceShaders.MPSMatrix                       1.0        ...framework/Frameworks/MPSMatrix.framework
PhoneNumbers                      com.apple.PhoneNumbers                                            1.0        ...PrivateFrameworks/PhoneNumbers.framework
CaptiveNetwork                    com.apple.CaptiveNetworkSupport                                   13.0       ...ivateFrameworks/CaptiveNetwork.framework
CoreTime                          com.apple.CoreTime                                                           ...ary/PrivateFrameworks/CoreTime.framework
AddressBookLegacy                 com.apple.AddressBookLegacy                                       1.0        ...teFrameworks/AddressBookLegacy.framework
AVKit                             com.apple.AVKit                                                   1.0        ...ystem/Library/Frameworks/AVKit.framework
IMFoundation                      com.apple.imfoundation                                            10.0       ...PrivateFrameworks/IMFoundation.framework
CoreMIDI                          com.apple.audio.midi.CoreMIDI                                     1.10       ...em/Library/Frameworks/CoreMIDI.framework
QuickLook                         com.apple.quicklook                                               1.0        ...m/Library/Frameworks/QuickLook.framework
RemoteTextInput                   com.apple.RemoteTextInput                                         1.0        ...vateFrameworks/RemoteTextInput.framework
CoreUtils                         com.apple.CoreUtils                                               6.0        ...ry/PrivateFrameworks/CoreUtils.framework
HangTracer                        com.apple.HangTracer                                              1.0        ...y/PrivateFrameworks/HangTracer.framework
MPSImage                          com.apple.MetalPerformanceShaders.MPSImage                        1.0        ....framework/Frameworks/MPSImage.framework
NanoPreferencesSync               com.apple.NanoPreferencesSync                                     1.0        ...Frameworks/NanoPreferencesSync.framework
AssetCacheServices                com.apple.AssetCacheServices                                      105        ...eFrameworks/AssetCacheServices.framework
TextureIO                         com.apple.TextureIO                                               3.10.9     ...ry/PrivateFrameworks/TextureIO.framework
Symbolication                     com.apple.Symbolication                                           11.0       ...rivateFrameworks/Symbolication.framework
CoreMaterial                      com.apple.CoreMaterial                                            1.0        ...PrivateFrameworks/CoreMaterial.framework
LocalAuthentication               com.apple.LocalAuthentication                                     1.0        ...Frameworks/LocalAuthentication.framework
MetricsKit                        com.apple.amp-ae-eng.MetricsKit                                   2.2.43     ...y/PrivateFrameworks/MetricsKit.framework
Security                          com.apple.Security                                                10.0       ...em/Library/Frameworks/Security.framework
SAObjects                         com.apple.SAObjects                                               1.0        ...ry/PrivateFrameworks/SAObjects.framework
LoggingSupport                    com.apple.LoggingSupport                                          1.0        ...ivateFrameworks/LoggingSupport.framework
MailServices                      com.apple.MailServices                                            1.0        ...PrivateFrameworks/MailServices.framework
TransparencyDetailsView           com.apple.TransparencyDetailsView                                 1.0        ...eworks/TransparencyDetailsView.framework
FBSDKCoreKit_Basics               com.facebook.sdk.FBSDKCoreKitBasics                               22.38      ...Frameworks/FBSDKCoreKit_Basics.framework
TextInput                         com.apple.TextInput                                               1.0        ...ry/PrivateFrameworks/TextInput.framework
BoardServices                     com.apple.BoardServices                                           1.0        ...rivateFrameworks/BoardServices.framework
PowerLog                          com.apple.PowerLog                                                1.0        ...ary/PrivateFrameworks/PowerLog.framework
SiriInstrumentation               com.apple.siri.SiriInstrumentation                                1.0        ...Frameworks/SiriInstrumentation.framework
SafariFoundation                  com.apple.SafariFoundation                                        608        ...ateFrameworks/SafariFoundation.framework
VectorKit                         com.apple.VectorKit                                               1.0        ...ry/PrivateFrameworks/VectorKit.framework
AudioToolboxCore                  com.apple.audio.AudioToolboxCore                                  1.0        ...ateFrameworks/AudioToolboxCore.framework
DeviceManagement                  com.apple.DeviceManagement                                        1.0        ...ateFrameworks/DeviceManagement.framework
PhotosFormats                     com.apple.PhotosFormats                                           1.0        ...rivateFrameworks/PhotosFormats.framework
                                                                                                               ...teFrameworks/AppleNeuralEngine.framework
TextRecognition                   com.apple.TextRecognition                                         1.0        ...vateFrameworks/TextRecognition.framework
CoreFoundation                    com.apple.CoreFoundation                                          6.9        ...rary/Frameworks/CoreFoundation.framework
HomeSharing                       com.apple.HomeSharing                                             1.0        .../PrivateFrameworks/HomeSharing.framework
CoreSDB                           com.apple.CoreSDB                                                 10.0       ...rary/PrivateFrameworks/CoreSDB.framework
CertUI                            com.apple.CertUI                                                  1.0        ...brary/PrivateFrameworks/CertUI.framework
MobileIcons                       com.apple.mobileicons.framework                                   1.0        .../PrivateFrameworks/MobileIcons.framework
InternationalTextSearch           com.apple.InternationalTextSearch                                 1.0        ...eworks/InternationalTextSearch.framework
C2                                com.apple.C2                                                      1.3        ...m/Library/PrivateFrameworks/C2.framework
TelephonyUI                       com.apple.TelephonyUI                                             1.0        .../PrivateFrameworks/TelephonyUI.framework
Email                             com.apple.Email                                                   11.0       ...ibrary/PrivateFrameworks/Email.framework
DuetActivityScheduler             com.apple.DuetActivityScheduler                                   1.0        ...ameworks/DuetActivityScheduler.framework
WirelessDiagnostics               com.apple.awd                                                     1.0        ...Frameworks/WirelessDiagnostics.framework
IDSFoundation                     com.apple.idsfoundation                                           10.0       ...rivateFrameworks/IDSFoundation.framework
ProgressUI                        com.apple.ProgressUI                                              1.0        ...y/PrivateFrameworks/ProgressUI.framework
Celestial                         com.apple.Celestial                                               1.0        ...ry/PrivateFrameworks/Celestial.framework
ContactsUI                        com.apple.ContactsUI                                              1.0.0      .../Library/Frameworks/ContactsUI.framework
GeoServices                       com.apple.GeoServices                                             1.0        .../PrivateFrameworks/GeoServices.framework
AppleAccount                      com.apple.AppleAccount                                            1.0        ...PrivateFrameworks/AppleAccount.framework
ContactsDonation                  com.apple.contacts.donation                                       1.0        ...ateFrameworks/ContactsDonation.framework
UIFoundation                      com.apple.UIFoundation                                            1.0        ...PrivateFrameworks/UIFoundation.framework
SpringBoardUIServices             com.apple.SpringBoardUIServices                                   1.0        ...ameworks/SpringBoardUIServices.framework
ChatSDK                           com.zendesk.ChatSDK                                               22.38      ...Paribet.app/Frameworks/ChatSDK.framework
ConstantClasses                   com.apple.ConstantClasses                                         1.0        ...vateFrameworks/ConstantClasses.framework
AggregateDictionary               com.apple.AggregateDictionary                                     1.0        ...Frameworks/AggregateDictionary.framework
IdleTimerServices                 com.apple.ist.IdleTimerServices                                   1.0        ...teFrameworks/IdleTimerServices.framework
MessagingAPI                      com.zendesk.MessagingAPI                                          22.38      ...et.app/Frameworks/MessagingAPI.framework
FonbetConfig                      com.bakenbard.FonbetConfig                                        22.38      ...et.app/Frameworks/FonbetConfig.framework
CoreParsec                        com.apple.siri.parsec.CoreParsec                                  1.0        ...y/PrivateFrameworks/CoreParsec.framework
ContactsFoundation                com.apple.AddressBook.ContactsFoundation                          8.0        ...eFrameworks/ContactsFoundation.framework
CoreServicesStore                 com.apple.CSStore                                                 1067.1.1   ...teFrameworks/CoreServicesStore.framework
FontServices                      com.apple.FontServices                                            1.0        ...PrivateFrameworks/FontServices.framework
Photos                            com.apple.Photos                                                  1.0        ...stem/Library/Frameworks/Photos.framework
CoreBluetooth                     com.apple.CoreBluetooth                                           1.0        ...brary/Frameworks/CoreBluetooth.framework
PushKit                           com.apple.PushKit                                                 1.0        ...tem/Library/Frameworks/PushKit.framework
CellularPlanManager               com.apple.CellularPlanManager                                     1.0        ...Frameworks/CellularPlanManager.framework
MobileSystemServices              com.apple.MobileSystemServices                                    1.0        ...rameworks/MobileSystemServices.framework
RTCReporting                      com.apple.RTCReporting                                            10.58      ...PrivateFrameworks/RTCReporting.framework
CoreSpotlight                     com.apple.CoreSpotlight                                           1.0        ...brary/Frameworks/CoreSpotlight.framework
MediaConversionService            com.apple.photo.MediaConversionService                            5.0        ...meworks/MediaConversionService.framework
CoreBrightness                    com.apple.corebrightness                                          1.0        ...ivateFrameworks/CoreBrightness.framework
iAd                               com.apple.iAd                                                     1.0        /System/Library/Frameworks/iAd.framework
CTCarrierSpace                    com.apple.coretelephony.CTCarrierSpace                            1.0        ...ivateFrameworks/CTCarrierSpace.framework
CoreDuet                          com.apple.CoreDuet                                                1.0        ...ary/PrivateFrameworks/CoreDuet.framework
libEDR                            com.apple.libEDR                                                  1.0        ...brary/PrivateFrameworks/libEDR.framework
iTunesStore                       com.apple.itunesstore                                                        .../PrivateFrameworks/iTunesStore.framework
Montreal                          com.apple.Montreal                                                1.0        ...ary/PrivateFrameworks/Montreal.framework
MPSRayIntersector                 com.apple.MetalPerformanceShaders.MPSRayIntersector               1.0        ...k/Frameworks/MPSRayIntersector.framework
QuickLookSupport                  com.apple.quicklook.QuickLookSupport                              1.0        ...ateFrameworks/QuickLookSupport.framework
StoreKit                          com.apple.StoreKit                                                1.0        ...em/Library/Frameworks/StoreKit.framework
MediaStream                       com.apple.mediastream                                             1.0        .../PrivateFrameworks/MediaStream.framework
LocationSupport                   com.apple.locationsupport                                         2387.0.14  ...vateFrameworks/LocationSupport.framework
IntlPreferences                   com.apple.IntlPreferences                                         1.0        ...vateFrameworks/IntlPreferences.framework
AXCoreUtilities                   com.apple.accessibility.AXCoreUtilities                           1.0        ...vateFrameworks/AXCoreUtilities.framework
AdSupport                         com.apple.AdSupport                                               1.0        ...m/Library/Frameworks/AdSupport.framework
CorePDF                           com.apple.CorePDF                                                 5.0        ...rary/PrivateFrameworks/CorePDF.framework
ConfigurationEngineModel          com.apple.ConfigurationEngineModel                                1.0        ...works/ConfigurationEngineModel.framework
ProactiveSupport                  com.apple.proactive.support.ProactiveSupport                      1.0        ...ateFrameworks/ProactiveSupport.framework
RemoteServiceDiscovery            com.apple.xpc.RemoteServiceDiscovery                              1.0        ...meworks/RemoteServiceDiscovery.framework
CoreAudio                         com.apple.audio.CoreAudio                                         5.0        ...m/Library/Frameworks/CoreAudio.framework
FonbetLib                         com.bakenbard.FonbetLib                                           22.38      ...ribet.app/Frameworks/FonbetLib.framework
AuthenticationServices            com.apple.AuthenticationServices                                  12.0       ...meworks/AuthenticationServices.framework
VoiceServices                     com.apple.voiceservices                                           1.0.0      ...rivateFrameworks/VoiceServices.framework
UserManagement                    com.apple.UserManagement                                          1.0        ...ivateFrameworks/UserManagement.framework
FonbetSDK                         com.bakenbard.FonbetSDK                                           22.38      ...ribet.app/Frameworks/FonbetSDK.framework
ContactsUICore                    com.apple.Contacts.ContactsUICore                                 1.0        ...ivateFrameworks/ContactsUICore.framework
FonbetCoupon                      com.bakenbard.FonbetCoupon                                        22.38      ...et.app/Frameworks/FonbetCoupon.framework
MediaToolbox                      com.apple.MediaToolbox                                            1.0        ...ibrary/Frameworks/MediaToolbox.framework
DistributedEvaluation             com.apple.private.DistributedEvaluation                           1.0        ...ameworks/DistributedEvaluation.framework
RevealCore                        com.apple.RevealCore                                              1.0        ...y/PrivateFrameworks/RevealCore.framework
ProtectedCloudStorage             com.apple.ProtectedCloudStorage                                   1.0        ...ameworks/ProtectedCloudStorage.framework
MPSNDArray                        com.apple.MetalPerformanceShaders.MPSNDArray                      1.0        ...ramework/Frameworks/MPSNDArray.framework
SafariSafeBrowsing                com.apple.Safari.SafeBrowsing                                     14608      ...eFrameworks/SafariSafeBrowsing.framework
AssistantServices                 com.apple.AssistantServices                                       1.0        ...teFrameworks/AssistantServices.framework
CoreVideo                         com.apple.CoreVideo                                               1.8        ...m/Library/Frameworks/CoreVideo.framework
WebUI                             com.apple.WebUI                                                   1.0        ...ibrary/PrivateFrameworks/WebUI.framework
PhotoLibraryServices              com.apple.PhotoLibraryServices                                    1.0        ...rameworks/PhotoLibraryServices.framework
IDS                               com.apple.ids                                                     10.0       .../Library/PrivateFrameworks/IDS.framework
AudioToolbox                      com.apple.audio.toolbox.AudioToolbox                              1.8        ...ibrary/Frameworks/AudioToolbox.framework
IconServices                      com.apple.IconServices                                            434        ...PrivateFrameworks/IconServices.framework
BackBoardServices                 com.apple.BackBoardServices                                       1.0        ...teFrameworks/BackBoardServices.framework
ProofReader                       com.apple.ProofReader                                             2.4        .../PrivateFrameworks/ProofReader.framework
CoreFollowUp                      com.apple.CoreFollowUp                                            1.0        ...PrivateFrameworks/CoreFollowUp.framework
MetadataUtilities                 com.apple.spotlight.metadata.utilities                            1.0        ...teFrameworks/MetadataUtilities.framework
Engram                            com.apple.Engram                                                  1.0        ...brary/PrivateFrameworks/Engram.framework
OpenGLES                          com.apple.opengles                                                17.10.22   ...em/Library/Frameworks/OpenGLES.framework
BluetoothManager                  com.apple.BluetoothManager                                        1.0        ...ateFrameworks/BluetoothManager.framework
OTSVG                             com.apple.OTSVG                                                   1.0        ...ibrary/PrivateFrameworks/OTSVG.framework
DocumentManagerCore               com.apple.DocumentManagerCore                                     1.0        ...Frameworks/DocumentManagerCore.framework
MIME                              com.apple.MIME                                                    2.0        ...Library/PrivateFrameworks/MIME.framework
InternationalSupport              com.apple.InternationalSupport                                    1.0        ...rameworks/InternationalSupport.framework
FBAEMKit                          com.facebook.sdk.FBAEMKit                                         22.38      ...aribet.app/Frameworks/FBAEMKit.framework
CommonUISDK                       com.zendesk.CommonUISDK                                           22.38      ...bet.app/Frameworks/CommonUISDK.framework
ApplePushService                  com.apple.aps.framework                                           4.0        ...ateFrameworks/ApplePushService.framework
CloudPhotoServices                com.apple.CloudPhotoServices                                      1.0        ...eFrameworks/CloudPhotoServices.framework
